            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2448184.295138889, A.D. 1990-Oct-19 19:05:00.0000,  1.285792346367188E+08,  7.744480195267132E+07,  1.578757220512059E+06, -1.821329171556447E+01,  3.657884895486686E+01,  1.388413198031095E+00,  5.007108112071959E+02,  1.501093248389792E+08,  3.285489238288495E+00,
2448185.295138889, A.D. 1990-Oct-20 19:05:00.0000,  1.269868536505264E+08,  8.059371193660052E+07,  1.698476475381836E+06, -1.864604571403892E+01,  3.631108047445094E+01,  1.382804433207498E+00,  5.017217849918472E+02,  1.504124071548534E+08,  3.729683960427780E+00,
2448186.295138889, A.D. 1990-Oct-21 19:05:00.0000,  1.253574336671054E+08,  8.371910228400686E+07,  1.817695358427607E+06, -1.907061558792839E+01,  3.603448014365772E+01,  1.376832224209856E+00,  5.028602177676203E+02,  1.507537007149701E+08,  4.169937845009398E+00,
2448187.295138889, A.D. 1990-Oct-22 19:05:00.0000,  1.236916970221612E+08,  8.682022759477210E+07,  1.936382924283098E+06, -1.948665360403434E+01,  3.574945981589251E+01,  1.370507285495641E+00,  5.041249132933106E+02,  1.511328468952385E+08,  4.605834041012140E+00,
2448188.295138889, A.D. 1990-Oct-23 19:05:00.0000,  1.219903948538576E+08,  8.989637873577094E+07,  2.054509191424269E+06, -1.989384088166874E+01,  3.545644670264489E+01,  1.363841193222251E+00,  5.055145578234653E+02,  1.515494518446798E+08,  5.036974215786135E+00,
2448189.295138889, A.D. 1990-Oct-24 19:05:00.0000,  1.202543062697845E+08,  9.294688001887909E+07,  2.172044649472713E+06, -2.029185632280780E+01,  3.515580495349484E+01,  1.356835709612513E+00,  5.070277218478601E+02,  1.520030870069103E+08,  5.462957391514922E+00,
2448190.295138889, A.D. 1990-Oct-25 19:05:00.0000,  1.184842317761632E+08,  9.597109977776852E+07,  2.288961655024767E+06, -2.068050360071441E+01,  3.484813621602403E+01,  1.349524922687216E+00,  5.086628742103171E+02,  1.524932933528558E+08,  5.883467836890396E+00,
2448191.295138889, A.D. 1990-Oct-26 19:05:00.0000,  1.166809926039240E+08,  9.896844657667841E+07,  2.405233847930700E+06, -2.105952145133380E+01,  3.453382250446083E+01,  1.341911783519956E+00,  5.104183855612019E+02,  1.530195824157844E+08,  6.298151500243638E+00,
2448192.295138889, A.D. 1990-Oct-27 19:05:00.0000,  1.148454295743224E+08,  1.019383662647694E+08,  2.520835705335684E+06, -2.142871026278762E+01,  3.421332688556096E+01,  1.334010257893693E+00,  5.122925310744047E+02,  1.535814371058371E+08,  6.706696147286501E+00,
2448193.295138889, A.D. 1990-Oct-28 19:05:00.0000,  1.129783994658287E+08,  1.048803448446285E+08,  2.635742927449934E+06, -2.178790021627517E+01,  3.388711539157151E+01,  1.325834677394541E+00,  5.142834993134934E+02,  1.541783143680335E+08,  7.108813050448958E+00,
2448194.295138889, A.D. 1990-Oct-29 19:05:00.0000,  1.110807724556206E+08,  1.077939086319495E+08,  2.749932465514712E+06, -2.213695089804739E+01,  3.355565480572003E+01,  1.317399656303316E+00,  5.163893990684306E+02,  1.548096472318677E+08,  7.504237387678497E+00,
2448195.295138889, A.D. 1990-Oct-30 19:05:00.0000,  1.091534296021171E+08,  1.106786242286932E+08,  2.863382542775147E+06, -2.247575073032596E+01,  3.321941055374586E+01,  1.308720011536643E+00,  5.186082662805222E+02,  1.554748468873563E+08,  7.892728459175386E+00,
2448196.295138889, A.D. 1990-Oct-31 19:05:00.0000,  1.071972603840765E+08,  1.135340983189586E+08,  2.976072668659903E+06, -2.280421623911317E+01,  3.287884471501180E+01,  1.299810686255423E+00,  5.209380710045391E+02,  1.561733047722293E+08,  8.274069729082763E+00,
2448197.295138889, A.D. 1990-Nov-01 19:05:00.0000,  1.052131603099494E+08,  1.163599772981946E+08,  3.087983646446757E+06, -2.312229116539006E+01,  3.253441415684978E+01,  1.290686675957044E+00,  5.233767243591315E+02,  1.569043946556125E+08,  8.648068703938591E+00,
2448198.295138889, A.D. 1990-Nov-02 19:05:00.0000,  1.032020287175437E+08,  1.191559467477922E+08,  3.199097579613760E+06, -2.342994229210999E+01,  3.218656880209977E+01,  1.281363096503339E+00,  5.259220856568866E+02,  1.576674747755646E+08,  9.014558700202688E+00,
2448199.295138889, A.D. 1990-Nov-03 19:05:00.0000,  1.011645136239495E+08,  1.219216246676475E+08,  3.309366633093350E+06, -2.373010366977519E+01,  3.183449801005115E+01,  1.271667212966536E+00,  5.285711560617673E+02,  1.584616461036588E+08,  9.370581282093744E+00,
2448200.295138889, A.D. 1990-Nov-04 19:05:00.0000,  9.910176707186382E+07,  1.246568767885750E+08,  3.418821679389350E+06, -2.401692753547906E+01,  3.148113483554680E+01,  1.261987295828702E+00,  5.313225350851301E+02,  1.592864887839624E+08,  9.721693969805182E+00,
2448201.295138889, A.D. 1990-Nov-05 19:05:00.0000,  9.701468707095693E+07,  1.273615036412334E+08,  3.527433560587682E+06, -2.429338665230947E+01,  3.112564881921821E+01,  1.252151911360302E+00,  5.341739714810662E+02,  1.601413279099307E+08,  1.006492849265415E+01,
2448202.295138889, A.D. 1990-Nov-06 19:05:00.0000,  9.490416657971741E+07,  1.300353395293727E+08,  3.635189465021275E+06, -2.455954360479429E+01,  3.076844794369335E+01,  1.242175383586808E+00,  5.371231828517734E+02,  1.610254792359166E+08,  1.040020566045517E+01,
2448203.295138889, A.D. 1990-Nov-07 19:05:00.0000,  9.277109228273556E+07,  1.326782534383608E+08,  3.742077806499325E+06, -2.481548079948206E+01,  3.040992689036740E+01,  1.232071748611959E+00,  5.401678669614253E+02,  1.619382525689827E+08,  1.072746684925152E+01,
